,Title,Technology Broad Category,Technology Mid-Type,Technology Sub-Type,Status,Rated Power (kW),Duration (hours),Latitude,Longitude,Black Start,Demand Response,Distribution upgrade due to solar,Distribution upgrade due to wind,Electric Bill Management,Electric Bill Management with Renewables,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Frequency Regulation,Grid-Connected Commercial (Reliability & Quality),Grid-Connected Residential (Reliability),Load Following (Tertiary Balancing),Microgrid Capability,On-Site Power,Onsite Renewable Generation Shifting,Ramping,Renewables Capacity Firming,Renewables Energy Time Shift,Resiliency,Stationary Transmission/Distribution Upgrade Deferral,Transmission Congestion Relief,Transmission Support,Transmission upgrades due to solar,Transmission upgrades due to wind,Transportable Transmission/Distribution Upgrade Deferral,Transportation Services,Voltage Support,Unnamed: 38,Unnamed: 39,Latitude_North,Latitude_South,Longitude_East,Longitude_West,Elevation,Elevation_North,Elevation_South,Elevation_East,Elevation_West
0,Ponale (Riva del Garda Ledro) Hydroelectric Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,80000,0,45.8885171,10.84,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45.8935171,45.8835171,10.845,10.835,90.31826019,94.70132446,62.79534149,74.8250351,188.0141602
1,Urdiceto Hydroelectric Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,7200,0,42.6334211,0.22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,42.6384211,42.6284211,0.225,0.215,1002.296509,1249.593384,1091.346802,1076.144287,1079.85144
2,Rocky River Pumped Storage Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,29000,0,41.58258,-73.43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,41.58758,41.57758,-73.425,-73.435,66.01906586,68.80501556,129.5840912,61,67.74674225
3,Etzelwerk Pumped Hydro Storage Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,135000,0,47.1369626,8.78,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,47.1419626,47.1319626,8.785,8.775,888.960022,888.960022,888.960022,888.960022,889
4,Skhodnenskaya Hydro Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,30000,0,55.850657,37.44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,55.855657,55.845657,37.445,37.435,173.6399536,175.9495392,171.9616241,174.2277069,176.1011353
5,Å tÄ›chovice Pumped Hydro Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,45000,4.88,49.846401,14.42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,49.851401,49.841401,14.425,14.415,207.605011,268.0054321,393.1576233,228.9717865,227.9985657
6,Provvidenza Hydro Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,156000,0,42.5575092,13.37,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,42.5625092,42.5525092,13.375,13.365,1377.130005,1392.603149,1316.027466,1340.975586,1357.342529
7,Alrance Pumped Storage Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,11000,0,44.1035517,2.69,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,44.1085517,44.0985517,2.695,2.685,726,736.8973389,776.8914795,726,768.4877319
8,Bhira Pumped Storage Hydro Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,150000,0,18.4548333,73.39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,18.4598333,18.4498333,73.395,73.385,97.49016571,124.9820328,258.9242249,171.139801,127.3033676
9,Waldshut Pumped Storage Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,150000,2.5,47.6184,8.19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,47.6234,47.6134,8.195,8.185,323.8466492,455.9204102,309.7799988,309.7799988,331.102356
10,DobÅ¡inÃ¡ I Pumped Storage Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,24000,0,48.8207511,20.37,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,48.8257511,48.8157511,20.375,20.365,456.7783203,507.4481506,530.8675537,460.2982178,463.4373474
11,Flatiron Powerplant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,8500,0,40.364905,-105.24,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,40.369905,40.359905,-105.235,-105.245,1697.133179,1698.917114,1730.980347,1679.439453,1762.947021
12,Gobantes Hydroelectric Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,3600,0,36.95558,-4.8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,36.96058,36.95058,-4.795,-4.805,485.8599854,446.0201721,443.8497009,380.8613892,425.5898132
13,Reisach Pumped Storage Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,99000,3,49.529869,12.29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,49.534869,49.524869,12.295,12.285,462.5262451,538.9502563,464.4853516,454.2075195,403.2109985
14,Kaprun Upper Stage Pumped Storage Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,113000,0,47.3648489,12.64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,47.3698489,47.3598489,12.645,12.635,1903.760742,1920.941895,1686.66626,1779.939819,1904.77478
15,FuÅ¾ine Pumped Hydro Storage Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,4600,0,45.3049852,14.71,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45.3099852,45.2999852,14.715,14.705,720.2125854,776.7441406,741.5998535,723.0108032,754.8811646
16,Argentat Pumped Storage Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,48000,0,45.10418,1.95,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45.10918,45.09918,1.955,1.945,182.3143311,289.0392761,210.1027527,190,188.9217682
17,LÃ¼nerseewerk Pumped Hydro Storage Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,232000,0,47.0531826,9.75,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,47.0581826,47.0481826,9.755,9.745,1966.963501,1969.953247,1967.464966,1969.222656,1976.337524
18,Happurg Pumped Storage Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Offline/Under Repair,160000,5.62,49.48711,11.47,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,49.49211,49.48211,11.475,11.465,389.1842651,354.4134521,428.6630554,365.1654663,431.469635
19,Gougra Pumped Hydro Storage Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,164000,0,46.291289,7.54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46.296289,46.286289,7.545,7.535,544.2096558,547.3125,525.6814575,544.8068848,526.878418
20,Sir Adam Beck Hydroelectric Generating Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,174000,6,43.1444964,-79.04,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,43.1494964,43.1394964,-79.035,-79.045,106.0784149,169.3414764,174.614624,179.9270782,170.1088562
21,TanzmÃ¼hle Pumped Storage Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,35000,3,49.552216,12.28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,49.557216,49.547216,12.285,12.275,431.2714233,459.4859924,534.4088745,465.0404663,450.1365662
22,Gaudalami Hydro Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,80000,0,37.9937488,13.29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,37.9987488,37.9887488,13.295,13.285,660.0866089,736.1367188,621.8792725,635.1030884,638.8934937
23,Leitzachwerk II,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,49200,11.25,47.8483283,11.86,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,47.8533283,47.8433283,11.865,11.855,653.7999878,653.8004761,664.4571533,653.8259277,653.7999878
24,Ananaigawa Hydroelectric Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,13500,0,33.6037185,133.69,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,33.6087185,33.5987185,133.695,133.685,45.42290115,47.38089371,32.68363953,38.48566437,42.31771851
25,Hatanagi No. 1 Pumped Hydro Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,137000,0,35.308032,138.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,35.313032,35.303032,138.205,138.195,962.2333374,972.3832397,1082.363525,885.9107666,845
26,Taum Sauk Hydroelectric Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,440000,8,37.4537502,-90.84,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,37.4587502,37.4487502,-90.835,-90.845,216.9891357,218.999527,246.4896088,205.1244202,217.3788147
27,Villa Gargnano Hydro Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,137200,0,45.6885992,10.66,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45.6935992,45.6835992,10.665,10.655,114.1346741,268.8577881,62.28207779,70.05152893,255.044632
28,Puente Bibey Hydroelectric Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,315000,0,42.310337,-7.23,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,42.315337,42.305337,-7.225,-7.235,651.2832642,571.6209106,675.5338745,638.1920776,658.7272949
29,Erzhausen Pumped Storage Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,220000,4.67,51.8989299,9.93,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,51.9039299,51.8939299,9.935,9.925,99.69980621,180.3181458,103.7033005,157.0242767,106.7876968
30,Glems Pumped Storage Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,90000,6.5,48.5071632,9.29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,48.5121632,48.5021632,9.295,9.285,471.1207275,446.2689209,494.8451843,492.0041504,455
31,Alto RabagÃ£o Hydro Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,68000,14310.33,41.737703,-7.85,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,41.742703,41.732703,-7.845,-7.855,861,861,861,861,819.0853271
32,Campo Moro Hydro Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,36500,0,46.2695803,9.87,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46.2745803,46.2645803,9.875,9.865,990.227478,1299.143799,1098.614624,991.0263062,989.1308594
33,Ikehara Pumped  Hydro Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,350000,0,34.042191,135.98,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,34.047191,34.037191,135.985,135.975,324.437561,310,192.9502411,532.380188,303.2580261
34,Yards Creek Pumped Storage,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,400000,6,41.00095,-75.03,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,41.00595,40.99595,-75.025,-75.035,247.7100067,258.9275513,245.2244263,246.5692902,290.0868835
35,Capriati Hydro Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,115000,0,41.5230896,14.13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,41.5280896,41.5180896,14.135,14.125,218.3110352,231.0028076,223.6846924,218.2104645,239.9344025
36,Pintado Hydroelectric Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,14000,0,37.93753,-5.78,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,37.94253,37.93253,-5.775,-5.785,565.074646,590.7853394,533.2298584,580.7998657,617.9491577
37,Torrejon Hydroelectric Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,132000,0,40.1989768,-3.8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,40.2039768,40.1939768,-3.795,-3.805,628.8766479,632.4758911,615.4992065,627.986145,628.1616211
38,Tods Corner Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,1700,0,-41.8602187,146.76,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,-41.8552187,-41.8652187,146.765,146.755,1034,1034,1034,1034,1034
39,Muddy Run Pumped Hydro Storage,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,1070000,0,39.847457,-76.29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,39.852457,39.842457,-76.285,-76.295,195.2515717,188.0494995,178.3638458,177.0657501,165.3583069
40,Smith Mountain Pumped Storage Project,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,560000,0,37.0497134,-79.64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,37.0547134,37.0447134,-79.635,-79.645,243,243,243,243,243
41,SÃ¤ckingen Pumped Storage Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,360000,6,47.5656,7.95,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,47.5706,47.5606,7.955,7.945,370.140564,481.1992798,332.6503906,368.4568481,406.4267883
42,Cabin Creek Generating Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,324000,4,39.7060984,-105.7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,39.7110984,39.7010984,-105.695,-105.705,2609.938477,2806.208008,2761.648682,2602.509277,2796.720947
43,Edward Hyatt (Oroville) Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,819000,0,39.5137752,-121.56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,39.5187752,39.5087752,-121.555,-121.565,48.60198212,76.66059113,50.58128738,51.33381271,39.96405792
44,Pracomune Hydro Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,42000,0,46.5478079,11.01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46.5528079,46.5428079,11.015,11.005,1060.358154,1203.759155,1134.99707,999.9170532,1108.524658
45,Shin Nariwagawa Pumped Storage Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,303000,0,34.822844,133.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,34.827844,34.817844,133.405,133.395,233.5,439.0379944,233.6343536,221.8073273,344.7305908
46,Nagano Pumped Hydro Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,220000,0,36.6485496,138.19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,36.6535496,36.6435496,138.195,138.185,363.749939,369.5086365,361.7242126,361.7052307,367.4721069
47,Solina Pumped Storage Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,200000,0,49.3958323,22.46,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,49.4008323,49.3908323,22.465,22.455,435.3734131,369.4022827,433.3953552,463.6172485,362.086792
48,Wendefurth Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,80000,6.5,51.7422639,10.92,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,51.7472639,51.7372639,10.925,10.915,341.1689453,442.9353943,327.7552185,393.1836548,352.359436
49,San Luis (William R. Gianelli) Pumped Storage Hydroelectric Powerplant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,424000,8,37.069105,-121.08,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,37.074105,37.064105,-121.075,-121.085,137.5654144,98.57364655,166,67.5,166
50,Gangnan Pumped-hydro Storage Station (å²—å—),Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,41000,0,38.265728,113.98,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,38.270728,38.260728,113.985,113.975,174.6911926,183.5271912,184.71698,183.1572876,183.2301941
51,"Azumi, Inekoki Dam Pumped Hydro Power Station",Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,623000,0,36,138,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,36.005,35.995,138.005,137.995,969.7915039,830.0858765,812.2832031,763.7335815,1007.869568
52,Rifawerk Pumped Hydro Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,7000,0,46.9782553,10.04,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46.9832553,46.9732553,10.045,10.035,1040.744751,1269.74292,1052.022339,1230.791748,982.7860718
53,IbÃ³n de Ip Hydroelectric Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,88500,0,42.7201458,-0.46,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,42.7251458,42.7151458,-0.455,-0.465,2106.55542,2161.70752,2255.603027,2104.541992,2254.797607
54,Kubanskaya PSP,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,15900,0,44.6680993,43.52,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,44.6730993,44.6630993,43.525,43.515,211,215.049057,208.6461792,209.440979,213.072876
55,RÃ¶nkhausen Pumped Storage Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,140000,4.92,51.1736091,7.97,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,51.1786091,51.1686091,7.975,7.965,290.8059082,261.9517517,237.8106384,314.9577026,236.6456909
56,Thermalito Pumping - Generating Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Offline/Under Repair,120000,0,39.5137752,-121.56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,39.5187752,39.5087752,-121.555,-121.565,48.60198212,76.66059113,50.58128738,51.33381271,39.96405792
57,Takane Daiichi Pumped Hydro Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,340000,0,35.6473601,138.64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,35.6523601,35.6423601,138.645,138.635,269.4307251,268.5397949,266.8296204,269.5529175,263.5506897
58,Villarino (Almendra) Reversible Hydro Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,810000,0,41.268575,-6.47,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,41.273575,41.263575,-6.465,-6.475,606.1964111,554.7267456,649.2045288,624.2626953,640.8375244
59,Midono Pumped Hydro Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,260000,0,36.154152,137.75,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,36.159152,36.149152,137.755,137.745,812.8789063,941.8075562,996.8895264,969.4575195,891.1890259
60,Seneca Pumped Storage Generating Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,440000,0,41.831299,-79.01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,41.836299,41.826299,-79.005,-79.015,610.6781006,577.3550415,613.3251953,621.6547852,613.3287354
61,Hongrin-Leman  Pumped Hydro Storage Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,240000,0,46.4198999,6.93,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46.4248999,46.4148999,6.935,6.925,447.1761169,590.4420166,449.8557434,664.3864136,376.8084412
62,Kisenyama Pumped Storage Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,466000,0,34.8844606,135.8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,34.8894606,34.8794606,135.805,135.795,44.85331345,24.92367744,69.02519226,51.76977158,44.73363876
63,Fadalto Hydro Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,210000,0,46.0714347,12.34,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46.0764347,46.0664347,12.345,12.335,386.8014526,459.5966797,503.7225037,489.8828125,342.9664001
64,Cardos Valley Hydroelectric Complex - Montamara Power Station,Pumped Hydro Storage,Pumped Hydro Storage,Pumped Hydro Storage,Operational,90000,0,42.644804,1.26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,42.649804,42.639804,1.265,1.255,1160.131836,1294.390137,1402.946045,1327.297729,1185.124756
65,Å»ydowo Pumped Storage Power Plant,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,156000,0,54.0216713,16.74,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,54.0266713,54.0166713,16.745,16.735,178.6617432,167.677063,166.4984741,188.5115509,160.4550171
66,Salina Pumped Storage Project,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,260000,0,36.26566,-95.1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,36.27066,36.26066,-95.095,-95.105,241.9959259,196.1501465,276.5177002,265.0378418,221.5340729
67,Mormon Flat Pumped Hydro Storage,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,50000,0,33.465908,-112.03,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,33.470908,33.460908,-112.025,-112.035,342.4492188,343.8814392,340.6647339,343.7716675,340.9382324
68,Kyivska (Kijev) Pumped Hydro Power Station,Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Open-loop Pumped Hydro Storage,Operational,603000,0,50.5904776,30.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,50.5954776,50.5854776,30.485,30.475,138.6774597,142.8181152,151.0136108,128.4529724,162.4022827
